WELL_NAME,LAT,LONG,X,Y
Tuhua-2B,-39.064359,174.3529682,425542.94728648383,422203.22120734403
Tui-3H,-39.4428889,173.2360972,329498.9342519223,379834.60403093987
Ngaere-2,-39.3448745,174.365222,426494.73286116443,391007.9389553764
Tui SW-2,-39.461366399999996,173.2316251,329133.65863123495,377776.5828985091
Albacore-1,-38.4490989,174.02568390000002,397262.65355148015,490661.25918605697
MA-05A,-39.554894399999995,173.4495333,347910.04073830467,367524.95296208217
Kaimiro-18,-39.1471729,174.1714249,409857.546726215,413030.21834722406
Tariki-2,-39.1994752,174.365528,426576.1260712713,407175.4169038947
Kaipikari-1,-39.060295,174.3767291,427595.96416483325,422648.14376085694
Tuhua-9,-39.064734,174.35270119999998,425519.7594106071,422161.59839896025
Toko-2,-39.3167243,174.3536186,425507.19129789894,394141.4142237345
Windsor-3A,-39.1697104,174.19149309999997,411584.4022967409,410521.78532105475
Kaimiro-3,-39.158474,174.157082,408619.3028935185,411775.0561298566
Windsor-1,-39.169667,174.191471,411582.5042838377,410526.6140076375
Ahuroa-5,-39.265209999999996,174.34063030000002,424407.7976871331,399873.09244945063
MB-Z(11),-39.6452335,173.3157947,336526.6736622473,357394.4494832718
Ahuroa-2A,-39.2651725,174.34014299999998,424365.8593629073,399877.39350645634
McKee-5A,-39.0897844,174.33312790000002,423821.3936751435,419381.45535125304
Ahuroa-2,-39.2651725,174.34014299999998,424365.8593629073,399877.39350645634
Kaimiro-4,-39.161728499999995,174.16189419999998,409033.796064011,411412.70285499067
Tuhua-7,-39.064800700000006,174.3526456,425514.9349396884,422154.1973673325
Moki-1,-39.96767620000001,173.3119689,336494.2331282116,321537.3428782873
Toetoe-4D,-39.1238527,174.3140032,422160.0884916687,415598.0939391143
Kaimiro-11,-39.1610314,174.1489793,407920.39251064486,411491.4262276652
Okoki-1,-38.925738200000005,174.2049209,412786.26572314644,437648.6173956495
Kea-1,-39.87324279999999,173.33936,338745.3598909296,332057.0762262342
Ratanui-1,-39.152565100000004,174.2528674,416879.41706266004,412418.606287029
Maari-2,-39.9789551,173.30267990000002,335713.0393378349,320276.57741579576
Ngaere-3,-39.3299273,174.36090280000002,426128.895846894,392671.2381982787
Warea-1,-39.2204194,173.7824417,376338.4103099775,404855.9022421613
Durham-1,-39.2124096,174.21584130000002,413675.0628954448,405770.45849613234
McKee-15,-39.0899372,174.3333403,423839.6729899132,419364.4088632568
Toetoe-6B,-39.114264399999996,174.3236432,422994.80352271633,416661.85856275394
McKee-16A,-39.0899261,174.3333125,423837.27748503623,419365.65044675185
Kora-1A,-38.381362700000004,173.859521,382774.72335757385,498175.6786394951
Stratford-1,-39.30465770000001,174.2696321,418285.3019242211,395503.46740170347
Republic New Plymouth-4,-39.0609167,174.0377833,398330.94518114656,422627.5494522622
Ratapiko-1,-39.1973217,174.33115049999998,423614.5380482549,407424.4037018584
Kahawai-1,-38.302117200000005,174.24741469999998,416608.03763272695,506989.853037536
Tuhua-5A,-39.0643506,174.35270119999998,425519.8986097075,422204.23054565897
Urenui-1,-39.0210166,174.3565895,425871.5391470368,427021.6557086608
McKee-3,-39.0940554,174.33309690000002,423817.27041952696,418906.5502562495
Pohokura-3,-38.891157299999996,174.25020969999997,416712.2489712647,441486.5250796
Tariki-2A,-39.1994752,174.365528,426576.1260712713,407175.4169038947
Waimanu-1,-39.004210799999996,174.1764311,410310.2068379627,428926.3904915839
McKee-4,-39.094082,174.333097,423817.2700324897,418903.59244696854
Manu-1,-39.237048,174.3562034,425758.8217326287,403000.23149748694
Tuhua-3D,-39.0719369,174.3588319,426046.38761971,421358.92645824933
Toetoe-1,-39.1144405,174.3246572,423082.22834243765,416642.0191128012
Toetoe-3A,-39.1143516,174.3240905,423033.36566491536,416652.04866686225
McKee-2C,-39.0940973,174.3333814,423841.80844840436,418901.81630442373
Kauri-F5,-39.706444399999995,174.40263059999998,429558.1024553015,350791.41393593105
Kapuni-2,-39.4921223,174.17026069999997,409709.21269021597,374673.6934570788
MR2P1-LL BR1,-39.9858028,173.29375,334958.5425122562,319508.7364727373
Tuhua-3C,-39.0719369,174.3588319,426046.38761971,421358.92645824933
Te Kumi-1,-38.155728,173.9399104,389750.2090031857,523281.05269745854
Surrey-1,-39.241696999999995,174.21795,413850.9511991331,402513.53349645424
Toetoe-6,-39.114264399999996,174.3236432,422994.80352271633,416661.85856275394
Kora-1,-38.381362700000004,173.859521,382774.72335757385,498175.6786394951
Republic New Plymouth-2,-39.056925,174.0382,398366.8306319266,423071.41647401324
Goldie-2,-39.1849278,174.1689056,409635.1114059189,408832.3352290994
Kiwa-1,-39.809163299999994,172.69835759999998,283937.0807702895,338554.5635819595
Awatea-1,-38.173257299999996,174.03144019999996,397755.28282821266,521337.84369572316
Tangaroa-1,-38.1779513,173.8721323,383827.89305452694,520799.5968657667
Makuri-1,-39.2496206,174.3215645,422771.49776807585,401611.513996749
Waihi-1A,-38.6558584,174.4902882,437615.9316189005,467579.3616313042
Momoho-1,-39.902702000000005,174.1424882,407282.96939547407,329020.5639227034
MB-V(3),-39.645161200000004,173.31587180000002,336533.2091504234,357402.54283602594
Hector-1,-39.84754,172.72392,286183.266477069,334319.99075726804
Hochstetter-1,-39.659273,172.6065722,275830.5092069508,355098.3755383096
Oru-1,-39.37913270000001,174.3942492,428976.63673741993,387189.7280990901
McKee-7A,-39.089873299999994,174.332882,423800.14119173994,419371.6348031783
McKee-14,-39.0899622,174.3333125,423837.2652381227,419361.6363118765
Pouri-2,-39.0807778,174.33356669999998,423862.3225571201,420382.8277720872
Tui-2H,-39.4430861,173.2364444,329528.94641493924,379812.9475272859
Kapuni-3,-39.50519179999999,174.1760385,410203.1025553259,373219.7856498899
Toetoe-7,-39.1142083,174.323675,422997.5654305242,416668.08851172903
Toko-2B,-39.3167243,174.3536186,425507.19129789894,394141.4142237345
Kaimiro-14A,-39.137425,174.178696,410486.02373725845,414113.3194278456
Kapuni-4,-39.450469,174.172705,409924.8744729467,379305.08848172135
Tariki-1A,-39.2177839,174.3504281,425268.370417289,405143.9173086093
Kauri-F4,-39.7064417,174.4029639,429586.61649236403,350791.6052924364
Waitui-1,-39.1130619,174.3074636,421599.2804810556,416799.55531028146
McKee-5,-39.0897844,174.33312790000002,423821.3936751435,419381.45535125304
Pateke-3HST1,-39.3822881,173.2075369,326983.28339845745,386550.19980215246
Surrey-2ST1,-39.241869,174.21797,413852.6395872733,402494.4049465818
Moturoa-6 ST1,-39.059618900000004,174.0436051,398833.582176587,422771.9502457238
Pohokura-2,-38.908131,174.2621355,417740.1411580654,439596.83372322435
Miromiro-1,-39.142933299999996,174.2940278,420431.39580166526,413481.13029489294
Kupe South-8,-39.8509,174.1199361,405363.12045727414,334782.5842686852
Ngatoro-9,-39.1948838,174.18483480000003,411006.4609568198,407723.4630736212
